"Date","Price","Open","High","Low","Vol.","Change %"
"07/04/2023","84.33","84.37","84.37","84.10","0.02K","-0.04%"
"07/03/2023","84.37","86.00","86.00","86.00","0.05K","-1.88%"
"06/30/2023","85.99","84.00","85.83","83.95","10.32K","1.27%"
"06/29/2023","84.92","84.64","85.01","84.64","0.51K","0.46%"
"06/28/2023","84.53","84.95","84.95","84.95","0.01K","-1.35%"
"06/27/2023","85.68","84.47","84.47","83.99","0.06K","3.01%"
"06/26/2023","83.18","84.76","84.76","84.00","2.06K","-1.88%"
"06/23/2023","84.77","87.28","87.28","84.98","0.17K","-2.53%"
"06/22/2023","86.97","85.00","86.81","85.00","0.32K","-0.76%"
"06/21/2023","87.64","88.04","88.42","86.90","0.17K","-4.22%"
"06/20/2023","91.50","89.90","92.00","89.30","1.39K","2.93%"
"06/19/2023","88.89","88.00","88.00","88.00","0.03K","-0.01%"
"06/16/2023","88.90","88.44","88.88","87.42","0.58K","-1.44%"
"06/15/2023","90.20","89.63","91.50","88.81","3.92K","0.54%"
"06/14/2023","89.71","88.00","90.40","88.00","3.79K","2.99%"
"06/13/2023","87.11","85.00","87.29","85.00","0.43K","3.33%"
"06/12/2023","84.30","82.80","84.12","82.80","0.12K","0.63%"
"06/09/2023","83.77","81.45","83.28","81.45","0.10K","3.26%"
"06/08/2023","81.13","81.00","81.12","81.00","0.20K","0.46%"
"06/07/2023","80.75","78.25","80.60","77.96","0.38K","2.52%"
"06/06/2023","78.76","79.74","79.74","77.89","0.38K","-1.11%"
"06/05/2023","79.65","76.00","79.43","75.89","1.83K","4.47%"
"06/02/2023","76.25","76.66","77.76","76.40","0.72K","-0.05%"
"06/01/2023","76.28","76.50","76.50","75.53","0.29K","-2.58%"
"05/31/2023","78.30","77.00","78.50","77.00","0.28K","0.93%"
"05/30/2023","77.58","80.00","80.00","77.80","0.13K","-2.19%"
"05/26/2023","79.32","79.92","79.92","79.56","0.01K","-0.84%"
"05/25/2023","79.99","82.41","82.41","80.00","0.07K","-2.28%"
"05/24/2023","81.86","82.15","82.41","82.00","0.13K","-0.50%"
"05/23/2023","82.27","84.00","84.00","82.90","0.10K","-2.87%"
"05/22/2023","84.70","84.29","84.29","84.29","0.05K","-1.88%"
"05/19/2023","86.32","84.86","87.50","84.86","0.12K","-0.62%"
"05/18/2023","86.86","85.00","85.00","85.00","0.06K","1.94%"
"05/17/2023","85.20","85.98","85.98","84.69","1.45K","-0.51%"
"05/16/2023","85.64","84.00","85.45","84.00","0.33K","2.21%"
"05/15/2023","83.79","84.00","84.00","84.00","0.02K","-1.85%"
"05/12/2023","85.36","85.32","85.65","85.32","0.02K","0.10%"
"05/11/2023","85.28","85.28","85.28","85.28","","-0.80%"
"05/10/2023","85.97","86.26","86.28","86.26","0.41K","2.97%"
"05/09/2023","83.49","83.40","83.41","82.98","0.24K","1.94%"
"05/05/2023","81.90","81.90","81.90","81.90","","0.47%"
"05/04/2023","81.52","80.62","81.90","80.62","2.63K","-0.48%"
"05/03/2023","81.92","85.00","85.00","81.00","0.73K","-3.84%"
"05/02/2023","85.18","82.78","86.64","82.63","0.55K","1.11%"
"04/28/2023","84.25","83.00","84.36","83.00","0.58K","1.74%"
"04/27/2023","82.81","81.00","84.00","81.00","0.46K","0.44%"
"04/26/2023","82.44","83.23","83.23","82.08","0.43K","-1.10%"
"04/25/2023","83.36","85.42","85.45","83.50","6.41K","-2.27%"
"04/24/2023","85.30","86.04","86.16","84.63","3.52K","-1.23%"
"04/21/2023","86.36","87.75","87.82","86.35","0.37K","-2.21%"
"04/20/2023","88.32","88.95","89.20","88.95","0.10K","-2.98%"
"04/19/2023","91.03","91.65","92.58","91.65","0.26K","-0.89%"
"04/18/2023","91.85","89.92","90.50","89.13","0.83K","2.80%"
"04/17/2023","89.35","89.35","89.35","89.35","","-0.98%"
"04/14/2023","90.22","89.62","89.62","89.62","0.25K","-0.60%"
"04/13/2023","90.77","92.00","92.00","89.60","10.85K","-1.66%"
"04/12/2023","92.31","91.50","93.63","91.41","6.34K","-2.14%"
"04/11/2023","94.32","94.99","94.99","93.77","0.06K","1.60%"
"04/06/2023","92.84","93.09","93.96","93.07","0.22K","-0.01%"
"04/05/2023","92.85","93.10","94.02","92.32","0.94K","1.58%"
"04/04/2023","91.40","92.69","93.24","91.10","6.13K","-0.63%"
"04/03/2023","91.99","90.00","91.25","89.98","0.48K","4.08%"
"03/31/2023","88.38","87.45","88.93","87.26","0.19K","1.33%"
"03/30/2023","87.21","86.87","87.60","86.68","0.06K","0.77%"
"03/29/2023","86.55","86.38","86.38","86.38","0.07K","0.84%"
"03/28/2023","85.83","86.35","86.35","85.56","0.54K","2.06%"
"03/27/2023","84.10","84.52","84.52","84.00","0.87K","-0.42%"
"03/24/2023","84.45","90.00","90.00","83.76","2.56K","-5.22%"
"03/23/2023","89.11","87.57","89.16","87.57","0.80K","3.81%"
